,player_name,club,position,minutes_played,match_played,goals,assists,distance_covered,conceded,balls_recoverd,tackles,t_won,t_lost,clearance_attempted,corner_taken,offsides,dribbles,fouls_committed,fouls_suffered,yellow,red,right_foot,left_foot,headers,others,inside_area,outside_areas,penalties,total_attempts,on_target,off_target,on_target_rate,blocked,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_complted,freekicks_taken
0,Courtois,Real Madrid,Goalkeeper,1230,13,0,0,64.2,14.0,,,,,,,,,,,,,,,,,,,,,,,,,76.7,483.0,365.0,0.0,0.0,0.0,27.0
1,Vinícius Júnior,Real Madrid,Forward,1199,13,4,6,133.0,,29.0,11.0,3.0,8.0,0.0,3.0,4.0,83.0,13.0,24.0,1.0,0.0,3.0,1.0,0.0,0.0,4.0,0.0,0.0,27.0,8.0,10.0,0.2962962962962963,9.0,83.1,451.0,377.0,31.0,19.0,6.0,0.0
2,Benzema,Real Madrid,Forward,1106,12,15,1,121.5,,6.0,1.0,1.0,0.0,10.0,2.0,9.0,18.0,2.0,4.0,1.0,0.0,11.0,1.0,3.0,0.0,13.0,2.0,3.0,45.0,23.0,13.0,0.5111111111111111,9.0,83.1,523.0,433.0,20.0,10.0,2.0,4.0
3,Modrić,Real Madrid,Midfielder,1077,13,0,4,124.5,,39.0,9.0,3.0,6.0,4.0,10.0,0.0,8.0,3.0,8.0,1.0,0.0,,,,,,,,14.0,5.0,3.0,0.35714285714285715,6.0,89.8,799.0,723.0,25.0,12.0,3.0,26.0
4,Éder Militão,Real Madrid,Defender,1076,12,0,0,110.4,,76.0,19.0,6.0,13.0,32.0,,,,17.0,16.0,4.0,0.0,,,,,,,,9.0,4.0,5.0,0.4444444444444444,0.0,87.5,643.0,563.0,0.0,2.0,0.0,17.0
5,Alaba,Real Madrid,Defender,1040,12,1,0,112.3,,49.0,18.0,12.0,6.0,28.0,,,,9.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,1.0,0.2,3.0,92.3,657.0,606.0,11.0,17.0,2.0,21.0
6,Carvajal,Real Madrid,Defender,959,11,0,1,112.8,,50.0,12.0,6.0,6.0,30.0,0.0,1.0,9.0,15.0,6.0,3.0,0.0,,,,,,,,5.0,2.0,3.0,0.4,0.0,87.3,576.0,503.0,34.0,23.0,8.0,11.0
7,Casemiro,Real Madrid,Midfielder,914,11,0,0,107.6,,76.0,31.0,13.0,18.0,19.0,,,,17.0,18.0,3.0,0.0,,,,,,,,10.0,2.0,6.0,0.2,2.0,89.1,538.0,482.0,25.0,4.0,1.0,6.0
8,Kroos,Real Madrid,Midfielder,902,12,2,0,116.5,,37.0,11.0,5.0,6.0,4.0,,,,7.0,18.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,12.0,7.0,1.0,0.5833333333333334,4.0,91.9,814.0,752.0,20.0,34.0,7.0,44.0
9,Mendy,Real Madrid,Defender,867,10,0,2,96.3,,36.0,6.0,5.0,1.0,15.0,0.0,0.0,8.0,7.0,7.0,3.0,0.0,,,,,,,,2.0,0.0,2.0,0.0,0.0,91.1,413.0,376.0,25.0,12.0,3.0,4.0
10,Valverde,Real Madrid,Midfielder,804,11,0,1,96.7,,29.0,13.0,7.0,6.0,10.0,0.0,3.0,10.0,4.0,5.0,2.0,0.0,,,,,,,,9.0,0.0,4.0,0.0,5.0,85.4,395.0,336.0,20.0,15.0,3.0,1.0
11,Nacho,Real Madrid,Defender,574,9,0,0,61.9,,27.0,10.0,4.0,6.0,14.0,,,,7.0,7.0,2.0,0.0,,,,,,,,1.0,0.0,1.0,0.0,0.0,91.0,304.0,283.0,16.0,6.0,1.0,5.0
12,Rodrygo,Real Madrid,Forward,505,11,5,2,65.7,,14.0,2.0,1.0,1.0,3.0,1.0,1.0,20.0,5.0,11.0,1.0,0.0,2.0,2.0,1.0,0.0,5.0,0.0,0.0,23.0,10.0,7.0,0.43478260869565216,6.0,77.6,209.0,183.0,38.0,13.0,5.0,3.0
13,Lucas Vázquez,Real Madrid,Midfielder,349,8,0,1,47.4,,13.0,2.0,0.0,2.0,6.0,0.0,0.0,6.0,4.0,8.0,1.0,0.0,,,,,,,,,,,,,83.6,239.0,207.0,25.0,12.0,3.0,2.0
14,Camavinga,Real Madrid,Midfielder,296,10,0,1,40.2,,19.0,17.0,9.0,8.0,6.0,0.0,1.0,2.0,5.0,10.0,1.0,0.0,,,,,,,,2.0,0.0,2.0,0.0,0.0,87.7,179.0,158.0,0.0,1.0,0.0,7.0
15,Asensio,Real Madrid,Forward,207,8,1,2,28.4,,3.0,1.0,0.0,1.0,1.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,0.0,0.6,2.0,72.6,89.0,75.0,25.0,4.0,1.0,1.0
16,Jović,Real Madrid,Forward,113,3,0,0,12.9,,1.0,0.0,0.0,0.0,0.0,,,,1.0,3.0,1.0,0.0,,,,,,,,4.0,1.0,2.0,0.25,1.0,90.3,40.0,36.0,0.0,0.0,0.0,0.0
17,Marcelo,Real Madrid,Defender,93,3,0,0,10.7,,4.0,0.0,0.0,0.0,3.0,,,,1.0,0.0,0.0,0.0,,,,,,,,2.0,0.0,1.0,0.0,1.0,85.0,63.0,55.0,33.0,3.0,1.0,1.0
18,E. Hazard,Real Madrid,Forward,84,3,0,0,10.8,,1.0,0.0,0.0,0.0,0.0,,,,1.0,3.0,0.0,0.0,,,,,,,,3.0,3.0,0.0,1.0,0.0,,,,,,,
19,Miguel Gutiérrez,Real Madrid,Defender,66,1,0,0,7.7,,1.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,1.0,0.0,1.0,0.0,0.0,,,,,,,
