,Igrač,Klub,Pozicija,Broj_minuta,Broj_mečeva,Golovi,Asistencije,Broj_faulova,Golovi_desnom,Golovi_lijevom,Golovi_glavom,Drugačiji_golovi,Iz_šesnaesterca,Van_šesnaesterca,Penali,Šutevi,Unutar_okvira
0,Vinícius Júnior,Real Madrid,Napad,1199,13,4,6,13,3,1,0,0,4,0,0,27,8
1,Benzema,Real Madrid,Napad,1106,12,15,1,2,11,1,3,0,13,2,3,45,23
2,Alaba,Real Madrid,Odbrana,1040,12,1,0,9,0,1,0,0,0,1,0,5,1
3,Kroos,Real Madrid,Sredina,902,12,2,0,7,1,1,0,0,0,2,0,12,7
4,Rodrygo,Real Madrid,Napad,505,11,5,2,5,2,2,1,0,5,0,0,23,10
5,Asensio,Real Madrid,Napad,207,8,1,2,2,0,1,0,0,0,1,0,5,3
6,Salah,Liverpool,Napad,1008,13,8,2,4,0,8,0,0,7,1,1,42,22
7,Fabinho,Liverpool,Sredina,849,13,1,0,14,1,0,0,0,1,0,0,5,1
8,Mané,Liverpool,Sredina,822,13,5,1,16,2,3,0,0,5,0,0,21,8
9,Konaté,Liverpool,Odbrana,720,8,2,0,11,0,0,2,0,2,0,0,6,2
10,Henderson,Liverpool,Sredina,666,12,1,2,10,1,0,0,0,0,1,0,12,4
11,Thiago Alcántara,Liverpool,Sredina,604,10,1,0,5,1,0,0,0,0,1,0,9,3
12,Diogo Jota,Liverpool,Napad,578,11,1,1,11,0,0,1,0,1,0,0,16,7
13,Keïta,Liverpool,Sredina,487,10,1,2,15,1,0,0,0,0,1,0,14,2
14,Firmino,Liverpool,Sredina,323,7,5,0,4,3,1,1,0,4,1,0,13,5
15,Origi,Liverpool,Napad,187,7,1,1,4,0,0,1,0,1,0,0,12,2
16,Pau Torres,Villarreal,Odbrana,1080,12,1,0,3,1,0,0,0,1,0,0,4,1
17,Parejo,Villarreal,Sredina,1055,12,1,3,4,0,1,0,0,1,0,0,5,1
18,Capoue,Villarreal,Sredina,1046,12,2,4,19,1,1,0,0,2,0,0,9,3
19,Mahrez,Man. City,Sredina,986,12,7,2,6,1,4,2,0,7,0,2,37,18
20,Danjuma,Villarreal,Sredina,906,11,6,2,6,3,3,0,0,6,0,1,25,14
21,Bernardo Silva,Man. City,Sredina,878,11,3,3,10,0,3,0,0,3,0,0,7,4
22,Lewandowski,Bayern Munchen,Napad,876,10,13,3,11,8,3,1,1,13,0,3,31,19
23,João Cancelo,Man. City,Odbrana,840,9,2,3,11,2,0,0,0,1,1,0,11,4
24,Rüdiger,Chelsea,Odbrana,840,9,1,0,11,0,0,1,0,1,0,0,11,1
25,Sané,Bayern Munchen,Sredina,798,10,6,6,2,1,5,0,0,3,3,0,33,13
26,Müller,Bayern Munchen,Napad,778,10,4,3,11,1,2,1,0,3,1,0,14,8
27,De Bruyne,Man. City,Sredina,734,10,2,4,9,1,0,1,0,2,0,0,24,7
28,Škriniar,Inter Milan,Odbrana,720,8,1,0,5,1,0,0,0,1,0,0,10,3
29,Gilberto,Benfica,Odbrana,715,9,1,0,16,1,0,0,0,1,0,0,3,1
30,Rafa Silva,Benfica,Napad,704,9,1,1,8,1,0,0,0,1,0,0,9,1
31,Azpilicueta,Chelsea,Odbrana,679,9,1,1,9,1,0,0,0,1,0,0,3,3
32,David,LOSC,Napad,679,8,3,0,4,1,2,0,0,3,0,1,12,5
33,Mbappé,PSG,Napad,673,8,6,4,3,6,0,0,0,6,0,0,27,16
34,Havertz,Chelsea,Sredina,672,9,3,0,12,0,1,2,0,3,0,0,26,11
35,Haller,Ajax,Napad,668,8,11,1,17,3,4,3,1,11,0,1,24,15
